Feature,SHAP_Importance
GDP,1576441909.0562663
GDP_rolling_std,136319182.99338093
GDP_rolling_mean,127050852.73258859
Employment,90960586.01641347
Establishments,90196475.15544067
GDP_growth_rate,81502542.87812217
GDP_per_establishment,52721904.220797636
Wages,46717450.84722242
Wage_per_employee,32200305.865441855
Employment_lag_3,25840895.26227653
GDP_lag_1,20539380.059871055
GDP_lag_2,16112901.67491337
Employment_lag_1,15673948.948544791
Employment_lag_2,13029101.236810723
Employment_growth_rate,12238806.746202892
GDP_volatility,11699966.082763957
GDP_lag_3,3896144.257682578
